"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Open OTP online, disable radios, type 0000. Record error/retry vs silent no-op. Radios restored in AfterMethod.","9527","Case 20: No network on OTP submit — error/retry, no crash","L2B Vendor","Thu Sep 17 16:48:59 IST 2026","passed","Thu Sep 17 16:49:08 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","noNetworkOnOtpSubmitShowsErrorNotCrash"
"Type 0000 (4-digit field). Tap Continue if enabled. Record landing, error copy, and RestAssured POST /api/v1/auth/verify-otp for the same phone+0000.","9342","Case 8: Wrong OTP 0000 — error on OTP, not Home","L2B Vendor","Thu Sep 17 16:40:54 IST 2026","passed","Thu Sep 17 16:41:04 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","wrongOtpShowsErrorNotSuccess"
"Paste '😀9876543210नमस्ते'. Record field. Must not crash. Letters/emoji must not stay.","16355","Case 14: Paste emoji/unicode — no crash, rejected","L2B Vendor","Thu Sep 17 16:34:43 IST 2026","passed","Thu Sep 17 16:34:59 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","pasteEmojiUnicodeDoesNotCrash"
"Tap first Quick Booking Accept. Assign machine must open. Open Select an operator, pick the first operator, then Confirm. Sheet-open alone is not a pass. Do not Skip. Do not tap Decline. Do not tap extend-time Accept.","31912","Accept-2: Assign operator then Confirm completes one Accept","L2B Vendor Quick Booking accept — rental owner 9000000001","Fri Sep 18 16:06:19 IST 2026","broken","Fri Sep 18 16:06:51 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","Quick Booking accept","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","acceptOneRentalCard"
"Background/foreground the permission dialog, then force-stop and relaunch: clean GrantPermissions UI.","14543","Force-stop mid-splash then relaunch","L2B Vendor","Thu Sep 17 16:10:12 IST 2026","passed","Thu Sep 17 16:10:26 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","00 Splash screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","forceStopThenRelaunchAndBackground"
"","1940","Sign up screen","L2B Vendor","Thu Sep 17 16:16:42 IST 2026","passed","Thu Sep 17 16:16:44 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","05 Sign up screen","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","signUpScreen"
"Close (Home may be covered by extend-time dialog #15), terminateApp + activateApp. Pending rentals should reopen Quick Booking. Do not tap Accept/Decline.","22029","Landing-10: Reopen after Close still shows the pending queue","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:44:42 IST 2026","passed","Fri Sep 18 15:45:04 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","reopenAfterCloseStillShowsQueue"
"Wait for Resend OTP, logcat -c, three clickGestures. Count resend-otp/send-otp. Countdown must restart once; remaining seconds must not jump up again.","74161","Case 14: Rapid 3x Resend — only one OTP send","L2B Vendor","Thu Sep 17 16:45:09 IST 2026","passed","Thu Sep 17 16:46:23 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","rapidTripleTapResendSendsOnce"
"Valid number, tap terms (Get OTP enables), tap terms again (must disable). CheckBox checked attr is unreliable on this dump — enablement is the evidence.","16599","Case 16: Check then uncheck terms disables Get OTP again","L2B Vendor","Thu Sep 17 16:36:01 IST 2026","passed","Thu Sep 17 16:36:18 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","uncheckTermsDisablesGetOtpAgain"
"Placeholder: simulate backend down without touching shared QA. Not run until a local stub exists.","1","No isolated stub for QA.waardian.com; enabling this would interfere with the shared QA env.: Backend unreachable at splash","L2B Vendor","Thu Sep 17 16:09:32 IST 2026","unknown","Thu Sep 17 16:09:32 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","00 Splash screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","backendUnreachableAtSplash"
"9000000001 + 1234. First screen must show at least two pending cards (Accept count >= 2, matching Decline and View More Details). Do not tap Accept/Decline.","13860","Landing-2: Multiple rental booking cards are visible","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:18:43 IST 2026","passed","Fri Sep 18 15:18:56 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","multipleCardsAreVisible"
"QA phone + terms, logcat -c, three clickGestures on Get OTP. Count send-otp in logcat. OTP chrome should appear once. Does not submit OTP.","8242","Case 17: Rapid 3x Get OTP — only one send-otp","L2B Vendor","Thu Sep 17 16:36:21 IST 2026","passed","Thu Sep 17 16:36:30 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","rapidTripleTapGetOtpSendsOnce"
"List #2. Blocked on 9000000001 while pending rentals exist. Not retargeted to 0003.","3","Edge-1: Quick Booking does not appear when no eligible rentals","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:27:24 IST 2026","skipped","Fri Sep 18 16:27:24 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","doesNotAppearWhenNoEligibleRentals"
"Dump-sourced: same Get OTP outer View. Type 812345609 (9 digits) + terms. Wait briefly for a wrong enable; CTA must stay enabled=false.","19126","Case 2: 9-digit number leaves Get OTP disabled","L2B Vendor","Thu Sep 17 16:29:05 IST 2026","passed","Thu Sep 17 16:29:24 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","nineDigitNumberLeavesGetOtpDisabled"
"9999999999 + terms. Record whether Get OTP enables. Not blocked = SMS abuse risk.","7845","Case 6: All-same 9999999999 — blocked or Get OTP enables","L2B Vendor","Thu Sep 17 16:31:15 IST 2026","passed","Thu Sep 17 16:31:23 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","allSameNinesEnablesOrBlocksGetOtp"
"List #7. First Decline outer View must be enabled. Do not tap Accept. Do not tap extend-time Decline.","48239","Decline-2: Decline is enabled on an eligible rental card","L2B Vendor Quick Booking decline — rental owner 9000000001","Fri Sep 18 16:22:19 IST 2026","passed","Fri Sep 18 16:23:07 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","Quick Booking decline","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingDeclineTest","declineButtonIsEnabledOnEligibleCard"
"Type 01, rotate to landscape. Record orientation, field text, resend seconds.","11175","Case 17: Rotation mid-entry — digits and timer survive","L2B Vendor","Thu Sep 17 16:48:13 IST 2026","passed","Thu Sep 17 16:48:24 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","rotationMidEntryPreservesDigitsAndTimer"
"Type 8123456098, do not tap terms. Get OTP outer View must stay enabled=false.","21608","Case 15: Valid number, terms unchecked — Get OTP disabled","L2B Vendor","Thu Sep 17 16:35:16 IST 2026","passed","Thu Sep 17 16:35:37 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","validNumberTermsUncheckedLeavesGetOtpDisabled"
"Placeholder: simulate backend down without touching shared QA. Not run until a local stub exists.","0","No isolated stub for QA.waardian.com; enabling this would interfere with the shared QA env.: Case 19: Backend unreachable on Get OTP","L2B Vendor","Thu Sep 17 16:27:49 IST 2026","unknown","Thu Sep 17 16:27:49 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","backendUnreachableOnGetOtp"
"Tap first Get Direction. Record landing (maps or in-app). Must not crash. Do not tap Accept/Decline.","26426","Landing-11: Get Direction is enabled and does not crash","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:36:37 IST 2026","passed","Fri Sep 18 15:37:03 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","getDirectionOpensWithoutCrash"
"Back from slide 2 may return to slide 1, language, or exit. Record the actual screen.","53881","Case 7: Android Back from slide 2 and slide 1 — no crash, named screen","L2B Vendor","Thu Sep 17 16:22:40 IST 2026","passed","Thu Sep 17 16:23:34 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","androidBackOnCarouselDoesNotCrash"
"Tap Skip 3× fast on a fresh slide 1, then Next 3× fast on a fresh slide 1. Pass = process alive and a single named landing (not a hang / crash).","26813","Case 10: Rapid Skip/Next taps — no crash, no duplicate navigation","L2B Vendor","Thu Sep 17 16:26:09 IST 2026","passed","Thu Sep 17 16:26:36 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","rapidDoubleTapSkipAndNextDoesNotDuplicate"
"Dump-sourced slide 1: 'Grow Your Machine…', body 'List your machines easily', Skip + Next, footer 'Are you Customer?'.","11322","Case 1: Slide 1 shows headline, body, Skip, Next, Are you Customer?","L2B Vendor","Thu Sep 17 16:17:14 IST 2026","passed","Thu Sep 17 16:17:25 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","slideOneShowsHeadlineBodySkipNextAndCustomerPrompt"
"9876543210 + terms. Record Get OTP enabled.","7670","Case 9: Sequential 9876543210 — blocked or Get OTP enables","L2B Vendor","Thu Sep 17 16:31:51 IST 2026","passed","Thu Sep 17 16:31:59 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","sequentialDescendingEnablesOrBlocksGetOtp"
